name,measurement_unit
flour,g
sugar,g
butter,g
milk,ml
eggs,pcs
vanilla extract,tsp
baking powder,tsp
cocoa powder,g
chocolate,g
bananas,pcs
blueberries,g
strawberries,g
raspberries,g
blackberries,g
lemon,pcs
lime,pcs
cream cheese,g
icing sugar,g
walnuts,g
almonds,g
pecans,g
yeast,g
water,ml
oil,ml
vinegar,ml
honey,g
maple syrup,ml
oats,g
raisins,g
cinnamon,tsp
nutmeg,tsp
cloves,tsp
ginger,tsp
allspice,tsp
cardamom,tsp
pumpkin puree,g
carrots,g
apples,pcs
pears,pcs
peaches,pcs
plums,pcs
grapes,g
orange,pcs
kiwi,pcs
pineapple,g
mango,pcs
avocado,pcs
coconut milk,ml
almond milk,ml
soy milk,ml
rice milk,ml
breadcrumbs,g
yeast dry,g
tomatoes,pcs
bell peppers,pcs
cucumbers,pcs
lettuce,g
spinach,g
kale,g
onions,pcs
garlic,cloves
olives,g
feta cheese,g
mozzarella cheese,g
parsley,g
cilantro,g
basil,g
rosemary,g
oregano,g
chili powder,tsp
paprika,tsp
cumin,tsp
coriander,tsp
turmeric,tsp
saffron,threads
bay leaves,pcs
dill,g
chives,g
tarragon,g
mint,g
sage,g
capers,g
anchovies,g
salmon,g
tuna,g
shrimp,g
clams,g
oysters,g
lobster,g
chicken breast,g
beef steak,g
pork chops,g
lamb shank,g
veal,g
turkey,g
duck,g
goose,g
rabbit,g
quail,g
squid,g
octopus,g
halibut,g
cod,g
trout,g
carp,g
beets,g
potatoes,g
sweet potatoes,g
leeks,g
celery stalks,g
celery root,g
fennel,g
cabbage,g
red cabbage,g
savoy cabbage,g
brussels sprouts,g
kohlrabi,g
cauliflower,g
broccoli,g
zucchini,g
squash,g
eggplant,g
mushrooms,g
shiitake mushrooms,g
chanterelle mushrooms,g
porcini mushrooms,g
morel mushrooms,g
radishes,g
turnips,g
parsnips,g
rutabaga,g
black eyed peas,g
chickpeas,g
lentils,g
kidney beans,g
navy beans,g
butter beans,g
pinto beans,g
cannellini beans,g
lima beans,g
green beans,g
soy beans,g
edamame,g
mung beans,g
peas,g
sweetcorn,g
baby corn,g
okra,g
artichoke hearts,g
asparagus,g
avocado oil,ml
peanut oil,ml
sesame oil,ml
canola oil,ml
olive oil,ml
sunflower oil,ml
coconut oil,g
grapeseed oil,ml
flaxseed oil,ml
walnut oil,ml
almond oil,ml
hazelnut oil,ml
macadamia nut oil,ml
pumpkin seed oil,ml
sesame seeds,g
poppy seeds,g
sunflower seeds,g
flax seeds,g
chia seeds,g
pumpkin seeds,g
hemp seeds,g
almond flour,g
coconut flour,g
buckwheat flour,g
rye flour,g
corn flour,g
tapioca flour,g
rice flour,g
quinoa,g
bulgur,g
couscous,g
polenta,g
oatmeal,g
buckwheat,g
barley,g
millet,g
farro,g
spelt,g
amaranth,g
kamut,g
teff,g
wild rice,g
brown rice,g
basmati rice,g
jasmine rice,g
black rice,g
red rice,g
sticky rice,g
sushi rice,g
bok choy,g
arugula,g
romaine lettuce,g
iceberg lettuce,g
radicchio,g
endive,g
swiss chard,g
collard greens,g
mustard greens,g
turnip greens,g
beet greens,g
dandelion greens,g
watercress,g
thyme,g
chervil,g
marjoram,g
bay leaf,g
coriander seeds,g
cumin seeds,g
fennel seeds,g
caraway seeds,g
mustard seeds,g
chocolate chips,g
cocoa nibs,g
white chocolate chips,g
dark chocolate,g
milk chocolate,g
cacao powder,g
coffee,ml
espresso,ml
chai tea,ml
green tea,ml
black tea,ml
oolong tea,ml
white tea,ml
